"anon_Mill" "anon_Sense" "anon_Villette"
"give" 0.079849920631103 0.105351170568562 0.0551023771268488
"thing" 0.0726345663572081 0.154682274247492 0.0360482841016768
"rather" 0.095242676415412 0.0618729096989967 0.0731265191776871
"let" 0.0981288181249699 0.024247491638796 0.0592221810241833
"o" 0.21068834479773 0.0108695652173913 0.0133893626663371
"saw" 0.0524315743903026 0.0953177257525084 0.101965146459029
"enough" 0.0716725191206888 0.0861204013377926 0.0442878918963457
"back" 0.0880273221415172 0.0334448160535117 0.0535574506653483
"once" 0.0726345663572081 0.0618729096989967 0.116899435586866
"upon" 0.0500264562990043 0.0819397993311037 0.0690067152803527
"these" 0.063014093992015 0.0535117056856187 0.140588307996539
"something" 0.0870652749049978 0.0627090301003344 0.0540724261525151
"face" 0.0841791331954399 0.0209030100334448 0.0700366662546863
"mother" 0.0894703929962961 0.169732441471572 0.0473777448193466
"sir" 0.0355957477512146 0.100334448160535 0.0128743871791703
"house" 0.0481023618259657 0.123745819397993 0.054587401639682
"went" 0.0822550387224013 0.0409698996655518 0.0731265191776871
"oh" 0.113521573909279 0.0585284280936455 0.038108186050344
"heart" 0.0514695271537833 0.1061872909699 0.0860009063568574
"yes" 0.0654192120833133 0.0510033444816054 0.046347793845013
"those" 0.0692674010293905 0.0409698996655518 0.0556173526140156
"under" 0.0750396844485064 0.0426421404682274 0.0983603180488609
"got" 0.124585117129251 0.0225752508361204 0.0324434556915091
"because" 0.0947616527971523 0.0551839464882943 0.0339883821530095
"home" 0.0875462985232575 0.0576923076923077 0.0576772545626828
"things" 0.114964644764058 0.0175585284280936 0.0453178428706794
"room" 0.0538746452450815 0.0819397993311037 0.0607671074856837
"get" 0.101014959834528 0.0267558528428094 0.0288386272813414
"done" 0.0634951176102747 0.0593645484949833 0.0468627693321798
"sure" 0.0548366924816008 0.11371237458194 0.0324434556915091
"perhaps" 0.0678243301746116 0.072742474916388 0.0787912495365221
"going" 0.0788878733945837 0.0493311036789298 0.0303835537428418
"maggie" 0.592140074077637 0 0
"why" 0.0846601568136996 0.0409698996655518 0.0468627693321798
"poor" 0.0962047236519313 0.0593645484949833 0.0267787253326742
"till" 0.0505074799172639 0.0693979933110368 0.0514975487166811
"another" 0.0567607869546395 0.06438127090301 0.0514975487166811
"put" 0.0779258261580644 0.0359531772575251 0.0602521319985169
"dear" 0.0572418105728991 0.0986622073578595 0.0267787253326742
"off" 0.0822550387224013 0.0476588628762542 0.029868578255675
"father" 0.156332675934388 0.020066889632107 0.0324434556915091
"through" 0.0557987397181202 0.0309364548494983 0.105569974869196
"many" 0.0610899995189764 0.0836120401337793 0.0484076957936802
"having" 0.0442541728798884 0.048494983277592 0.0473777448193466
"knew" 0.0432921256433691 0.0518394648829431 0.09527046512586
"left" 0.049064409062485 0.0819397993311037 0.0617970584600173
"heard" 0.0346337005146953 0.0652173913043478 0.0623120339471841
"against" 0.0702294482659098 0.0543478260869565 0.0319284802043423
"moment" 0.0557987397181202 0.072742474916388 0.0648869113830182
"wish" 0.047621338207706 0.0610367892976589 0.0432579409220121
"tom" 0.506517870027418 0 0
"looking" 0.109192361344942 0.0167224080267559 0.0406830634861781
"indeed" 0.0192409447303863 0.0836120401337793 0.0834260289210234
"took" 0.0500264562990043 0.0434782608695652 0.0818811024595229
"head" 0.0788878733945837 0.0292642140468227 0.0607671074856837
"nor" 0.0312665351868777 0.0735785953177258 0.107629876817863
"morning" 0.0365577949877339 0.0693979933110368 0.0432579409220121
"however" 0.0110635432199721 0.129598662207358 0.0587072055370164
"adam" 0.00144307085477897 0 0
"it^s" 0.13997787291356 0.00167224080267559 0
"same" 0.064457164846794 0.0852842809364548 0.0648869113830182
"speak" 0.0543556688633412 0.0510033444816054 0.0509825732295143
"right" 0.0726345663572081 0.0267558528428094 0.0396531125118444
"towards" 0.000481023618259657 0.0543478260869565 0.0267787253326742
"hope" 0.0365577949877339 0.0735785953177258 0.0319284802043423
"woman" 0.0529125980085622 0.0568561872909699 0.0406830634861781
"told" 0.0432921256433691 0.0576923076923077 0.0386231615375108
"both" 0.0312665351868777 0.0777591973244147 0.0525274996910147
"found" 0.0384818894607725 0.0593645484949833 0.0669468133316854
"between" 0.0514695271537833 0.0568561872909699 0.0509825732295143
"new" 0.0861032276684785 0.0259197324414716 0.0355333086145099
"anything" 0.0788878733945837 0.0209030100334448 0.0169941910765048
"place" 0.0394439366972918 0.0668896321070234 0.0442878918963457
"want" 0.0678243301746116 0.0359531772575251 0.0267787253326742
"cannot" 0.0033671653278176 0.0744147157190636 0.0386231615375108
"since" 0.0548366924816008 0.0510033444816054 0.0324434556915091
"lady" 0.0221270864399442 0.115384615384615 0.0417130144605117
"i^m" 0.114483621145798 0.00167224080267559 0.00154492646150043
"round" 0.0586848814276781 0.0225752508361204 0.0602521319985169
"door" 0.0360767713694742 0.0309364548494983 0.0659168623573518
"jane" 0.0101014959834528 0.000836120401337793 0
"world" 0.0596469286641974 0.0777591973244147 0.0308985292300087
"far" 0.0456972437346674 0.0568561872909699 0.0576772545626828
"feel" 0.0514695271537833 0.0551839464882943 0.0458328183578462
"people" 0.0610899995189764 0.044314381270903 0.029868578255675
"turned" 0.061571023137236 0.0225752508361204 0.0520125242038479
"seen" 0.0404059839338112 0.0468227424749164 0.0690067152803527
"words" 0.0471403145894463 0.0234113712374582 0.0494376467680138
"almost" 0.0389629130790322 0.0710702341137124 0.0525274996910147
"believe" 0.0269373226225408 0.0752508361204013 0.0484076957936802
"gone" 0.0423300784068498 0.0292642140468227 0.0396531125118444
"sister" 0.0885083457597768 0.183110367892977 0.00978453425616941
"hear" 0.0303044879503584 0.0585284280936455 0.0303835537428418
"few" 0.033671653278176 0.0660535117056856 0.0355333086145099
"often" 0.0389629130790322 0.0434782608695652 0.0530424751781815
"evening" 0.0331906296599163 0.0418060200668896 0.0628270094343509
"leave" 0.029342440713839 0.048494983277592 0.0365632595888436
"work" 0.0404059839338112 0.0100334448160535 0.0432579409220121
"present" 0.0418490547885901 0.0702341137123746 0.0448028673835125
"lydgate" 0 0 0
"side" 0.0505074799172639 0.0459866220735786 0.0324434556915091
"really" 0.0370388186059936 0.0719063545150502 0.0283236517941746
"less" 0.0418490547885901 0.0811036789297659 0.0324434556915091
"sort" 0.0500264562990043 0.00752508361204013 0.0468627693321798
"kind" 0.0298234643320987 0.0794314381270903 0.0478927203065134
"night" 0.0221270864399442 0.0275919732441472 0.0890907592798583
"else" 0.0687863774111309 0.0384615384615385 0.0102995097433362
"family" 0.0774448025398047 0.0693979933110368 0.010814485230503
"half" 0.0355957477512146 0.0468227424749164 0.0432579409220121
"voice" 0.0505074799172639 0.0426421404682274 0.0514975487166811
"find" 0.0360767713694742 0.0459866220735786 0.0308985292300087
"dorothea" 0 0 0
"least" 0.0274183462408004 0.0585284280936455 0.0427429654348453
"feeling" 0.0586848814276781 0.0234113712374582 0.0334734066658427
"best" 0.0447351964981481 0.0217391304347826 0.0453178428706794
